d_codigo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1538;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;232;Urbano;1
1539;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;233;Urbano;1
1540;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;21;10;2684;Urbano;1
1548;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2638;Urbano;1
1549;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;243;Urbano;1
1550;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;245;Urbano;1
1560;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;249;Urbano;1
1566;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2747;Urbano;1
1567;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;253;Urbano;1
1569;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;255;Urbano;1
1580;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;21;10;2768;Urbano;1
1585;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;21;10;2755;Urbano;1
1586;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;21;10;257;Urbano;1
1587;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;21;10;258;Urbano;1
1588;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;259;Urbano;1
1589;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;21;10;260;Urbano;1
1590;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;261;Urbano;1
1600;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;263;Urbano;1
1610;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2639;Urbano;1
1618;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2745;Urbano;1
1619;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;269;Urbano;1
1620;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;270;Urbano;1
1630;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;2838;Urbano;1
1640;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;275;Urbano;1
1645;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;276;Urbano;1
1650;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;279;Urbano;1
1700;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;286;Urbano;1
1708;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;292;Urbano;1
1710;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;294;Urbano;1
1720;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;297;Urbano;1
1729;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;298;Urbano;1
1730;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;300;Urbano;1
1740;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;303;Urbano;1
1750;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;307;Urbano;1
1759;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;308;Urbano;1
1760;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;310;Urbano;1
1770;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;316;Urbano;1
1780;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;318;Urbano;1
1788;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;12;10;322;Urbano;1
1789;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;323;Urbano;1
1790;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;325;Urbano;1
1800;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;327;Urbano;1
1807;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;328;Urbano;1
1810;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;330;Urbano;1
1820;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;2843;Urbano;1
1830;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;333;Urbano;1
1840;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;334;Urbano;1
1849;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;337;Urbano;1
1856;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;4;10;340;Urbano;1
1857;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;341;Urbano;1
1859;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;343;Urbano;1
1860;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;344;Urbano;1
1000;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;1;Urbano;1
1010;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;5;Urbano;1
1020;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;6;Urbano;1
1029;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;22;10;8;Urbano;1
1030;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;10;Urbano;1
1040;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;12;Urbano;1
1048;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;31;10;13;Urbano;1
1049;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;14;Urbano;1
1050;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;16;Urbano;1
1060;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;17;Urbano;1
1070;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;19;Urbano;1
1080;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;22;Urbano;1
1089;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;24;Urbano;1
1090;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;28;Urbano;1
1100;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;31;Urbano;1
1109;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;33;Urbano;1
1110;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;34;Urbano;1
1120;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;50;Urbano;1
1125;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;43;Urbano;1
1130;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;53;Urbano;1
