CVE_ENT;CVE_MUN;CVE_LOC;NOM_LOC
1;1;1;Aguascalientes
1;2;1;Asientos
1;3;1;Calvillo
1;4;1;Cosío
1;5;1;Jesús María
1;6;1;Pabellón de Arteaga
1;7;1;Rincón de Romos
1;8;1;San José de Gracia
1;9;1;Tepezalá
1;10;1;Palo Alto
1;11;1;San Francisco de los Romo
2;1;1;Ensenada
2;2;1;Mexicali
2;3;1;Tecate
2;4;1;Tijuana
2;5;1;Playas de Rosarito
3;1;1;Ciudad Constitución
3;2;1;Santa Rosalía
3;3;1;La Paz
3;8;1;San José del Cabo
3;9;1;Loreto
4;1;1;Calkiní
4;2;1;San Francisco de Campeche
4;3;1;Ciudad del Carmen
4;4;1;Champotón
4;5;1;Hecelchakán
4;6;1;Hopelchén
4;7;1;Palizada
4;8;1;Tenabo
4;9;1;Escárcega
4;10;1;Xpujil
4;11;1;Candelaria
5;1;1;Abasolo
5;2;1;Ciudad Acuña
5;3;1;Allende
5;4;1;Arteaga
5;5;1;Candela
5;6;1;Castaños
5;7;1;Cuatro Ciénegas de Carranza
5;8;1;Escobedo
5;9;1;Francisco I. Madero (Chávez)
5;10;1;Frontera
5;11;1;General Cepeda
5;12;1;Guerrero
5;13;1;Hidalgo
5;14;1;Jiménez
5;15;1;Juárez
5;16;1;Lamadrid
5;17;1;Matamoros
5;18;1;Monclova
5;19;1;Morelos
5;20;1;Ciudad Melchor Múzquiz
5;21;1;Nadadores
5;22;1;Nava
5;23;1;Ocampo
5;24;1;Parras de la Fuente
5;25;1;Piedras Negras
5;26;1;Progreso
5;27;1;Ramos Arizpe
5;28;1;Sabinas
5;29;1;Sacramento
5;30;1;Saltillo
5;31;1;San Buenaventura
5;32;1;San Juan de Sabinas
5;33;1;San Pedro
5;34;1;Sierra Mojada
5;35;1;Torreón
5;36;1;Viesca
5;37;1;Villa Unión
5;38;1;Zaragoza
6;1;1;Ciudad de Armería
6;2;1;Colima
6;3;1;Comala
6;4;1;Coquimatlán
6;5;1;Cuauhtémoc
6;6;1;Ixtlahuacán
6;7;1;Manzanillo
6;8;1;Minatitlán
6;9;1;Tecomán
6;10;1;Ciudad de Villa de Álvarez
7;1;1;Acacoyagua
7;2;1;Acala
7;3;1;Acapetahua
7;4;1;Altamirano
7;5;1;Amatán
7;6;1;Amatenango de la Frontera
7;7;1;Amatenango del Valle
7;8;1;Jaltenango de la Paz (Angel Albino Corzo)
7;9;1;Arriaga
7;10;1;Bejucal de Ocampo
7;11;1;Bella Vista
7;12;1;Berriozábal
7;13;1;Bochil
7;14;1;El Bosque
7;15;1;Cacahoatán
7;16;1;Catazajá
7;17;1;Cintalapa de Figueroa
7;18;1;Coapilla
7;19;1;Comitán de Domínguez
7;20;1;La Concordia
7;21;1;Copainalá
7;22;1;Chalchihuitán
7;23;1;Chamula
7;24;1;Chanal
7;25;1;Chapultenango
7;26;1;Chenalhó
7;27;1;Chiapa de Corzo
7;28;1;Chiapilla
7;29;1;Chicoasén
7;30;1;Chicomuselo
7;31;1;Chilón
7;32;1;Escuintla
7;34;1;Frontera Comalapa
7;35;1;Frontera Hidalgo
7;36;1;La Grandeza
7;37;1;Huehuetán
7;38;1;Huixtán
7;39;1;Huitiupán
7;40;1;Huixtla
7;41;1;La Independencia
7;42;1;Ixhuatán
7;43;1;Ixtacomitán
7;44;1;Ixtapa
7;45;1;Ixtapangajoya
7;46;1;Jiquipilas
7;47;1;Jitotol
7;48;1;Juárez
7;49;1;Larráinzar
7;50;1;La Libertad
7;51;1;Mapastepec
7;52;1;Las Margaritas
7;53;1;Mazapa de Madero
7;54;1;Mazatán
7;55;1;Metapa de Domínguez
7;56;1;Mitontic
7;57;1;Motozintla de Mendoza
7;58;1;Nicolás Ruíz
7;59;1;Ocosingo
7;60;1;Ocotepec
7;61;1;Ocozocoautla de Espinosa
7;62;1;Ostuacán
7;63;1;Osumacinta
7;64;1;Oxchuc
7;65;1;Palenque
7;66;1;Pantelhó
7;67;1;Pantepec
7;68;1;Pichucalco
7;69;1;Pijijiapan
7;70;1;El Porvenir de Velasco Suárez
