d_codigo;Colonia;Tipo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1000;San Ángel;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;1;Urbano;1
1010;Los Alpes;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;5;Urbano;1
1020;Guadalupe Inn;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;6;Urbano;1
1029;INFONAVIT;Gran usuario;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;22;10;8;Urbano;1
1030;Florida;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;10;Urbano;1
1030;Axotla;Pueblo;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;9;Urbano;1
1040;Campestre;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;12;Urbano;1
1048;Las Águilas;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;31;10;13;Urbano;1
1049;Tlacopac;Pueblo;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;14;Urbano;1
1050;Ex-Hacienda de Guadalupe Chimalistac;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;16;Urbano;1
1060;Altavista;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;17;Urbano;1
1060;San Ángel Inn;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;18;Urbano;1
1070;Chimalistac;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;19;Urbano;1
1080;Progreso Tizapan;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;22;Urbano;1
1089;Ermita Tizapan;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;24;Urbano;1
1090;Tizapan;Pueblo;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;28;Urbano;1
1090;Loreto;Barrio;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;2;10;26;Urbano;1
1090;La Otra Banda;Barrio;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;2;10;25;Urbano;1
1100;Pólvora;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;31;Urbano;1
1100;Lomas de Santo Domingo;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;29;Urbano;1
1109;La Conchita;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;33;Urbano;1
1110;Belém de las Flores;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;34;Urbano;1
1110;El Capulín;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;36;Urbano;1
1110;Liberales de 1857;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;39;Urbano;1
1110;Ampliación El Capulín;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;37;Urbano;1
1120;Sears Roebuck;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;50;Urbano;1
1120;Las Américas;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;47;Urbano;1
1120;Cove;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;44;Urbano;1
1120;Acueducto;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;42;Urbano;1
1120;Hidalgo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;46;Urbano;1
1125;Ampliación Acueducto;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;43;Urbano;1
1130;Molino de Santo Domingo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;53;Urbano;1
1130;Molino de Santo Domingo;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;54;Urbano;1
1130;Paraíso;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;52;Urbano;1
1130;Real del Monte;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;56;Urbano;1
1139;Reacomodo Pino Suárez;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;58;Urbano;1
1140;Bellavista;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;59;Urbano;1
1140;José Maria Pino Suárez;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;60;Urbano;1
1150;Tolteca;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;64;Urbano;1
1150;Cristo Rey;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;63;Urbano;1
1159;Delegación Política Álvaro Obregón;Gran usuario;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;22;10;65;Urbano;1
1160;Maria G. de García Ruiz;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;68;Urbano;1
1160;1a Victoria;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;69;Urbano;1
1160;Isidro Fabela;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;67;Urbano;1
1160;Bosque;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;66;Urbano;1
