Error;Field;Row
Type Conversion Failure;c_estado;1905
Type Conversion Failure;c_cve_ciudad;1905
Type Conversion Failure;c_estado;5866
Type Conversion Failure;c_oficina;5866
Type Conversion Failure;c_estado;5873
Type Conversion Failure;c_cve_ciudad;5873
Type Conversion Failure;c_estado;5991
Type Conversion Failure;c_cve_ciudad;5991
Type Conversion Failure;c_cve_ciudad;6438
Type Conversion Failure;c_estado;9581
Type Conversion Failure;c_cve_ciudad;9581
Type Conversion Failure;c_cve_ciudad;9866
Type Conversion Failure;c_cve_ciudad;10188
Type Conversion Failure;c_estado;10800
Type Conversion Failure;c_cve_ciudad;10800
Type Conversion Failure;c_estado;13180
Type Conversion Failure;c_cve_ciudad;13180
Type Conversion Failure;c_estado;20584
Type Conversion Failure;c_cve_ciudad;20584
Type Conversion Failure;c_estado;20741
Type Conversion Failure;c_oficina;20741
Type Conversion Failure;c_estado;20786
Type Conversion Failure;c_cve_ciudad;20786
Type Conversion Failure;c_estado;20789
Type Conversion Failure;c_oficina;20789
Type Conversion Failure;c_tipo_asenta;20789
Type Conversion Failure;c_estado;20790
Type Conversion Failure;c_oficina;20790
Type Conversion Failure;c_estado;20800
Type Conversion Failure;c_cve_ciudad;20800
Type Conversion Failure;c_estado;20808
Type Conversion Failure;c_cve_ciudad;20808
Type Conversion Failure;c_estado;20819
Type Conversion Failure;c_cve_ciudad;20819
Type Conversion Failure;c_estado;20881
Type Conversion Failure;c_cve_ciudad;20881
Type Conversion Failure;c_estado;20890
Type Conversion Failure;c_cve_ciudad;20890
Type Conversion Failure;c_estado;20921
Type Conversion Failure;c_oficina;20921
Type Conversion Failure;c_estado;20938
Type Conversion Failure;c_cve_ciudad;20938
Type Conversion Failure;c_estado;20940
Type Conversion Failure;c_oficina;20940
Type Conversion Failure;c_estado;20943
Type Conversion Failure;c_oficina;20943
Type Conversion Failure;c_tipo_asenta;20943
Type Conversion Failure;c_estado;20948
Type Conversion Failure;c_oficina;20948
Type Conversion Failure;c_estado;20952
Type Conversion Failure;c_cve_ciudad;20952
Type Conversion Failure;c_estado;20983
Type Conversion Failure;c_oficina;20983
Type Conversion Failure;c_tipo_asenta;20983
Type Conversion Failure;c_mnpio;20983
Type Conversion Failure;c_estado;20987
Type Conversion Failure;c_cve_ciudad;20987
Type Conversion Failure;c_estado;20997
Type Conversion Failure;c_oficina;20997
Type Conversion Failure;c_estado;21131
Type Conversion Failure;c_oficina;21131
Type Conversion Failure;c_estado;21250
Type Conversion Failure;c_oficina;21250
